	�к�	 ����
NOTE:	 18	 //stdio.h
NOTE:	 19	 //存放构成单词符号的字符串 
NOTE:	 20	 //存放最新读进的源程序字符 
NOTE:	 21	 //当前字符串的位置指针 
NOTE:	 22	 //统计行数 
NOTE:	 23	 //统计源程序中单词个数,标点和空格不计为单词 
NOTE:	 24	 //统计源程序中字符个数 要去掉EOF 
NOTE:	 35	 //检查ch中字符是否空白 若是继续调用GetChar()直至非空
NOTE:	 45	 //将ch中的字符连接到strToken后
NOTE:	 50	 //判断当前字符是否为字母 
NOTE:	 57	 //判断当前字符是否为数字 
NOTE:	 64	 //判断当前字符是否为分界符 
NOTE:	 72	 //strToken回退，将ch置空 
NOTE:	 78	 //判断strToken中是否为关键字
NOTE:	 165	 //识别数字
NOTE:	 174	 //while循环在读到 数字开头+字母时报错 
NOTE:	 189	 //识别关键字、标识符           
NOTE:	 208	 //识别运算符(算术运算符 关系运算符 逻辑运算符 赋值运算符 不包括位运算符) 
NOTE:	 209	 //+,++,+=
NOTE:	 226	 //此情况下ch不应该用GetChar()
NOTE:	 230	 //-,--,-=
NOTE:	 252	 //*,*=,%,%=!,!=,>,>=,<,<=,=,==
NOTE:	 273	 // &&
NOTE:	 294	 // ||
NOTE:	 315	 // /,/=,//
NOTE:	 328	 //注释的处理(跳过)，只处理//型的注释，不处理/**/型的注释       
NOTE:	 329	 // //型注释读到本行末尾
NOTE:	 332	 //可能是最后一行所以考虑EOF 
NOTE:	 334	 //新加的 
NOTE:	 344	 //识别分界符         
NOTE:	 362	 //打印统计结果
